"manufacturer","Manufacturer Part #","Product Name","Product Description","Click-Out URL","Price","Category: Other Format","Category: NexTag Numeric ID","Image URL","Ground Shipping","Stock Status","Product Condition","Marketing Message","Weight","Cost-per-Click","UPC","Distributor ID","MUZE ID","ISBN"
"BikeHard","0402098","BikeHard Clipless Spinning/MTB Pedal Cleats","BikeHard Clipless Pedal Cleat.  Great for MTB and Spinning shoes.  This cleat is used in almost all spin classes and on almost all SPD compatible pedal systems. Incredibly durable hardened steel will last for many thousands of engagements/disengagements.","http://www.bicyclebuys.com/item/0402098/nt",14.99,"Bicycles > Clipless Pedals > Mountain Clipless Pedals","","http://www.bicyclebuys.com/productimages/0402098.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603190-23","Hutchinson Fusion 3 Tubeless 700x23 Black Road Tire","Hutchinson Fusion 3 Tubeless Road Tire has a Competition slick profile for very high performance.  Triple Compound technology: 3 component compound for increased tread life.  Ultra-efficient 127 tpi casing • Carbon beads for maximum safety.  Compatible wi","http://www.bicyclebuys.com/item/0603190-23/nt",59.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603190PART.jpg","","Yes","New","","",.45,"","","",""
"Michelin","0603124PART","Michelin Pro 3 Race Road Tire","Michelin Pro 3 Race Road Racing tire has improved rolling resistance and cornering grip.  Only 200 grams light. Manufactured with a Vectran Puncture Layer. Estimated life of the tire under normal use and conditions is 3500 km. Already proven in real world","http://www.bicyclebuys.com/item/0603124PART/nt",34.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603124PART.jpg","","Yes","New","","",.45,"","","",""
"GoPro","0102000","GoPro HD Hero 2 Outdoor Edition Camera","GoPro's HD Helmet Hero 2 Camera is the world’s highest performance wearable 1080p HD video and still photo camera. Professional quality 1080p / 960p / 720p HD resolutions record at 30 and 60 frames per second (60 fps in 720p). Record up to 2.5 hours on a ","http://www.bicyclebuys.com/item/0102000/nt",299.99,"Bicycles > Cycle Computers > Cycle Computers","","http://www.bicyclebuys.com/productimages/0102000.jpg","0.00","Yes","New","Limited Time Free Shipping","",.45,"","","",""
"Haro","1630665PART","Haro Gripoff Grip","Don't be fooled by the name, the Haro Gripoff Grip packs the bang for the buck.  With a high flange and included bar end plugs, these are ready to hit the trails or the park in no time.","http://www.bicyclebuys.com/item/1630665PART/nt",9.99,"Bicycles > Handlebar Tape/Grips > Handlebar Tape / Grips","","http://www.bicyclebuys.com/productimages/1630665PART.jpg","","Yes","New","","",.45,"","","",""
"Louis Garneau","0790193PART","Louis Garneau Neo Protect Shoe Cover","Louis Garneau Neo Protect Shoe Cover is made with 3mm neoprene to keep your feet warm under extreme cold weather.","http://www.bicyclebuys.com/item/0790193PART/nt",17.99,"Bicycles > Winter Clothing Accessories > Winter Clothing / Accessories","","http://www.bicyclebuys.com/productimages/0790193PART.jpg","","Yes","New","","",.45,"","","",""
"Cannondale","CATE1PART","Cannondale Teramo Helmet","Cannondale's Teramo Helmet for the road. Utilizing Cannondale's Peak Protection shell technology, dual-density EPS foam reduces weight while maintaining the highest industry safety standards.System Integrated Micro-Dial Fit w/ Ergo-Fit EVA occipital pad o","http://www.bicyclebuys.com/item/CATE1PART/nt",99.99,"Bicycles > Helmets > Road Helmets","","http://www.bicyclebuys.com/productimages/CATE1PART.jpg","","Yes","New","","",.45,"","","",""
"Hutchinson","0603212","Hutchinson Intensive Tubeless 700x25 Road Tire Black","Hutchinson Intensive Tubeless 700x25 Road Tire Black. Intensive is an ultra long distance tire with a thermoplastic reinforced compound that improves wear and performance without decreasing grip. Two compound Kevlar-Hardskin improves puncture resistance a","http://www.bicyclebuys.com/item/0603212/nt",49.99,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0603212.jpg","","Yes","New","","",.45,"","","",""
"Continental","0601507PART","Continental GP 4 Season Road Tire","Continental GP 4 Season Road Tire has a wonderful combination of speed, lightweight and wet weather performance.  Does not compromise puncture and sidewall protection.","http://www.bicyclebuys.com/item/0601507PART/nt",51.2465,"Bicycles > Road Tires > Road Tires","","http://www.bicyclebuys.com/productimages/0601507.jpg","0.00","Yes","New","Free Shipping","",.45,"","","",""
"Giro","0780004","Giro Roc Loc 4 Universal Size Grey","The Roc Loc is Giro's patented helmet fit and stabilizing system. The Roc Loc hugs the back of your head and reduces the tendency of your helmet to shift forwards or backwards. Unlike most systems, the Roc Loc design provides adjustable tension that is in","http://www.bicyclebuys.com/item/0780004/nt",9.99,"Bicycles > Helmets > Mountain Helmets","","http://www.bicyclebuys.com/productimages/0780004.jpg","","Yes","New","","",.45,"","","",""
