SKU,Title,Description,WebDisplay,Product URL,Image URL,price,List Price,Manufacturer,ManufactModel,UPC,Promo Text,Availability,Condition,,
1428825,Shimano BR-7900 Brake Cartridge Pad (R55C3293),"Shimano BR-7900 Brake Shoe Pad (R55C293).  Replacement pads for Dura Ace, Ultegra and 105 brake calipers. The R55C pad works with any Shimano brake shoe that has removable pads that use set screws. Use with BR-7900, BR-6700, BR-5700, BR-7800, BR-7700, BR-",Bicycles > Brakes-Standard,http://www.bicyclebuys.com/item/1428825/nt,http://www.bicyclebuys.com/productimages/1428825.jpg,9.99,16,Shimano,Y8FN98090,689228284876,Free Shipping On Orders Over $150.00,Yes,New,,"Shimano BR-7900 Brake Shoe Pad (R55C293).  Replacement pads for Dura Ace, Ultegra and 105 brake calipers. The R55C pad works with any Shimano brake shoe that has removable pads that use set screws. Use with BR-7900, BR-6700, BR-5700, BR-7800, BR-7700, BR-"
1011031,Shimano HG70 Chain 6/7/8 Speed 116L,"Shimano HG70 is an ideal upgrade chain for 6/7/8 speed bikes. Works with all HG cassettes. 116 links.",Bicycles > Chains,1011031/nt,http://www.bicyclebuys.com/productimages/1011031.jpg,19.99,40,Shimano,HG70,022255304894,Free Shipping On Orders Over $150.00,Yes,New,,"Shimano HG70 is an ideal upgrade chain for 6/7/8 speed bikes. Works with all HG cassettes. 116 links."
700X23PRTU,700x20-25 Presta Tube,"Hi Quality 700x20-25 Presta Tube with 36mm standard length valve.",Bicycles > Tubes,700X23PRTU/nt,http://www.bicyclebuys.com/productimages/tube.gif,4.99,8.5,Avenir,,691840934893,Free Shipping On Orders Over $150.00,Yes,New,,"Hi Quality 700x20-25 Presta Tube with 36mm standard length valve."
0414455,Shimano PD-M647 DX BMX/MTB Clipless Pedals,"Shimano PD-M647 DX BMX/MTB Clipless Pedals.  Dual-sided pop-up bindings that position the pedal body at 12.5 degrees angle for easy and fast entry, with adjustable cleat tension and indicators to show tension for each side.",Bicycles > Mountain Clipless Pedals,0414455/nt,http://www.bicyclebuys.com/productimages/0414455.jpg,109.99,140,Shimano,M647,689228218932,Free Shipping On Orders Over $150.00,Yes,New,,"Shimano PD-M647 DX BMX/MTB Clipless Pedals.  Dual-sided pop-up bindings that position the pedal body at 12.5 degrees angle for easy and fast entry, with adjustable cleat tension and indicators to show tension for each side."
1428829PART,Shimano Acera V-Brake Calipers BR-M422,"The Shimano Acera V-Brake Calipers are designed with XTR quality at department store prices.  Great replacement parts for weekend warrior riders or an upgrade for your department store special.",Bicycles > Brakes-Standard,1428829PART/nt,http://www.bicyclebuys.com/productimages/1428829PART.jpg,11.99,20,Shimano,,,Free Shipping On Orders Over $150.00,Yes,New,,"The Shimano Acera V-Brake Calipers are designed with XTR quality at department store prices.  Great replacement parts for weekend warrior riders or an upgrade for your department store special."
1736212,Park Gear Brush GSC-1C,"Park Tool's patented GearClean Brush has a unique design. A large comfortable handle with a curved, toothed-end reaches dirt deep between the gears, and tough nylon bristles clean the derailleur and chain.",Bicycles > Drivetrain Tools,1736212/nt,http://www.bicyclebuys.com/productimages/1736212.gif,4.95,5,Park,GSC-1C,763477003706,Free Shipping On Orders Over $150.00,Yes,New,,"Park Tool's patented GearClean Brush has a unique design. A large comfortable handle with a curved, toothed-end reaches dirt deep between the gears, and tough nylon bristles clean the derailleur and chain."
1736216,Park Professional Cable Cutter CN-10,"An updated version of our popular CN-2 Cable Cutter, the CN-4 has a better feel, a stronger spring, and a redesigned head that cuts both cable and housing (including index housing) quickly and cleanly.",Bicycles > Brake Tools,1736216/nt,http://www.bicyclebuys.com/productimages/1736216.jpg,34.49,38,Park,CN-10C,763477002044,Free Shipping On Orders Over $150.00,Yes,New,,"An updated version of our popular CN-2 Cable Cutter, the CN-4 has a better feel, a stronger spring, and a redesigned head that cuts both cable and housing (including index housing) quickly and cleanly."
1736218,Park Crank Extractor CCP-22,"The CCP-22 uses a long comfortable handle and extra fine thread that provides the needed leverage to remove even the tightest cranks. Our unique “floating tip” ensures smooth operation and long life. Fits all cranks using 22mm x 1 threads and square, tape",Bicycles > Headset / Bottom Bracket Tools,1736218/nt,http://www.bicyclebuys.com/productimages/1736218.jpg,13.95,15.3,Park,ccp-2,763477001245,Free Shipping On Orders Over $150.00,Yes,New,,"The CCP-22 uses a long comfortable handle and extra fine thread that provides the needed leverage to remove even the tightest cranks. Our unique “floating tip” ensures smooth operation and long life. Fits all cranks using 22mm x 1 threads and square, tape"
1736220,Park AWS-10 Hexset,"1.5mm, 2.5mm, 2mm, 3mm, 4mm, 5mm, and 6mm sizes in a glass-injected resin one piece handle that positions each hex in an easy to use position every time.",Bicycles > Multi Tools,1736220/nt,http://www.bicyclebuys.com/productimages/1736220.gif,7.95,8.5,Park,aws-10,763477000293,Free Shipping On Orders Over $150.00,Yes,New,,"1.5mm, 2.5mm, 2mm, 3mm, 4mm, 5mm, and 6mm sizes in a glass-injected resin one piece handle that positions each hex in an easy to use position every time."
1736222,Park HCW-17 Fixed Gear Lockring Wrench,"The HCW-17 features two different radius hooks for a precise fit on most fixed-gear lockrings. Also fits BMX cassette hub lockring rings with external notches.",Bicycles > Headset / Bottom Bracket Tools,1736222/nt,http://www.bicyclebuys.com/productimages/1736222.jpg,15.95,17,Park,,763477004178,Free Shipping On Orders Over $150.00,Yes,New,,"The HCW-17 features two different radius hooks for a precise fit on most fixed-gear lockrings. Also fits BMX cassette hub lockring rings with external notches."
1736223,Park Shimano  FR-1 Freewheel Remover,"FR-1 Fits all Shimano freewheels since 1985, Uniglide before 1985; S.I.S. and Sachs Aris freewheels. DO NOT USE ON FALCON BRAND FREEWHEELS",Bicycles > Wheels / Rims Tools,1736223/nt,http://www.bicyclebuys.com/productimages/1736223.jpg,8.95,9,Park,FR-1,763477003416,Free Shipping On Orders Over $150.00,Yes,New,,"FR-1 Fits all Shimano freewheels since 1985, Uniglide before 1985; S.I.S. and Sachs Aris freewheels. DO NOT USE ON FALCON BRAND FREEWHEELS"
1736224,Park Suntour FR-2 Freewheel Remover,"FR-2 Fits Sun Tour 2-notch freewheels. Not recommended for Sun Tour 4 to 6-notch freewheels.",Bicycles > Wheels / Rims Tools,1736224/nt,http://www.bicyclebuys.com/productimages/1736224.jpg,6.5,6.5,Park,FR-2,763477003430,Free Shipping On Orders Over $150.00,Yes,New,,"FR-2 Fits Sun Tour 2-notch freewheels. Not recommended for Sun Tour 4 to 6-notch freewheels."
