RETSKU,PRODUCT TITLE,DETAILED DESCRIPTION,CATEGORIZATION,PRODUCT URL,"PRIMARY IMAGE URL
 ","SELLING PRICE
 ",REGULAR PRICE,Condition,MANUFACTURER NAME,MANUFACTURER PART NUMBER,"UPC / EAN
 ",Availability,Color,Size,Material,Gender,Shipping
0803167PART,Free Agent Helmet,Impact absorbing EPP liner. Fabric Covered foam padding. Impact-resistant thermo plastic hard shell. One size fits all.  The helmet comes with three different size pads.,Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/0803167PART/PRG,http://www.bicyclebuys.com/item/productimages/FAHELMET.jpg,24.99,30,New,Free Agent,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GISE3PART,Giro Semi Helmet,"This low-profile helmet was built for progressive riders who want extra coverage.  The in-mold design gives it extra strength without sacrificing weight.  12 vents keep our nugget cool.  
Weight 12oz / 340g",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GISE3PART/PRG,http://www.bicyclebuys.com/item/productimages/GISE2.jpg,39.99,50,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BETE4PART,Bell Tension Full-Face Helmet,"The new Tension brings moto styling, features and toughness riders who need it.  Features a durable, multi-layered fiberglass shell with EPS foam liner, removable and washable comfort liner and cheek pads.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BETE4PART/PRG,http://www.bicyclebuys.com/item/productimages/BETE4PART.jpg,69.99,110,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BEME4PART,Bell Metro (Metropolis) Helmet,"This helmet was designed with the commuter in mind.  Comes with Bells? Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers.  <B>Identical to the 2007 model except for dif",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BEME4PART/PRG,http://www.bicyclebuys.com/item/productimages/BEME4PART.jpg,59.99,75,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIATM4PART,Giro Atmos Helmet '04,"The Atmos '04 is identical to the '05, '06, '07, '08 except for colors.  The Atmos is anything but thin air.  This is the most aggressive silhouette Giro has ever carved around 26 Wind Tunnel vents, with a new carbon Rib Cage reinforcement, interior strap",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIATM4PART/PRG,http://www.bicyclebuys.com/item/productimages/GIATM4PART.jpg,139.99,190,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIMM24PART,Giro Mad Max II Helmet,"The  Mad Max II offers the benefits of a one-piece full-face desig, plus an adjustable bolt-on visor, plush padding and super cool ventilation. Weight 43.2oz/1225g vents 15",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIMM24PART/PRG,http://www.bicyclebuys.com/item/productimages/GIMM24PART.jpg,59.99,120,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BEME5PART,Bell Metro Metropolis Helmet,"This helmet was designed with the commuter in mind.  Comes with Bells? Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers.  <B>Identical to the 2007 model except for dif",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BEME5PART/PRG,http://www.bicyclebuys.com/item/productimages/BEME5PART.jpg,59.99,70,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
0139953PART,Bell Rain Shield (For Bell Metro Helmets),"The Metro Rain Shield is a fitted, stretch breathable and waterproof rain cover that attaches to the helmet via integrated snap pods.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/0139953PART/PRG,http://www.bicyclebuys.com/item/productimages/0139953.jpg,14.99,18,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIMM25PART,Giro Mad Max II Helmet,"The  Mad Max II offers the benefits of a one-piece full-face desig, plus an adjustable bolt-on visor, plush padding and super cool ventilation. Weight 43.2oz/1225g, vents 15.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIMM25PART/PRG,http://www.bicyclebuys.com/item/productimages/GIMM25PART.jpg,59.99,120,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
LI9116PART,Limar 911 Helmet,"Limar 911 Helmet ia a performance Road / triathlon / MTB Helmet. Aggressively styled, with a largest number of vents in the industry, internal safety cage, carbon v-frame for low weight and extra stranght, Double in-mold process. It is one of the most adv",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/LI9116PART/PRG,http://www.bicyclebuys.com/item/productimages/LI9116PART.jpg,109.99,150,New,Limar,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BESWR8PART,Bell Sweep R (Road) Helmet ,Bell Sweep R Road Helmet is a masterpiece of design and function with 20 functional vents that keep your head cool and a style that keeps you cool. The legendary GPS Fit System keeps the helmet secure while remaining incredible comfortable. In-mold constr,Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BESWR8PART/PRG,http://www.bicyclebuys.com/item/productimages/BESWR8PART.jpg,99.99,135,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
LGGR6PART,Louis Garneau Grunge X Helmet,Louis Garneau Grunge Youth Helmet is a universal fitting helmet for ages 6 to 15. Comes in three flashy colors with snug formed fit.,Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/LGGR6PART/PRG,http://www.bicyclebuys.com/item/productimages/LGGR6PART.jpg,29.99,35,New,Louis Garneau,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BEME6PART,Bell Metro (Metropolis) Helmet '06,"The Bell Metropolis helmet was designed with the commuter in mind.  Comes with Bells? Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers. <B>Identical to the 2007 model ",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BEME6PART/PRG,http://www.bicyclebuys.com/item/productimages/BEME6PART.jpg,64.99,75,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BEVA7PART,Bell Variant Mountain Helmet '07,"The Bell Variant is a multi use helmet.  Cross Country, Downhill, Enduro, Freeride, Trials, Urban Assault.  You name it, you can ride with this helmet.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BEVA7PART/PRG,http://www.bicyclebuys.com/item/productimages/BEVA7PART.jpg,64.99,100,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
0751002PART,Fox Rampage Helmet '07,"Fox makes the world's best motocross helmets and people have been asking them for years to make a bike helmet. Well, the wait is finally over. Introducing the next evolution in bike helmets - the Rampage DH by FOX. They've taken their expertise in MX helm",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/0751002PART/PRG,http://www.bicyclebuys.com/item/productimages/0751002PART.jpg,69.95,120,New,Fox,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIME27PART,Giro Me 2 Helmet,"The Me 2 is the perfect first helmet.  The adjustable fit system allows the helmet to grow with your child.  The built in visor protects them from the sun and rain.  6 vents helps keep their heads cool.  Has a buckle that avoids pinching soft skin.
Weigh",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIME27PART/PRG,http://www.bicyclebuys.com/item/productimages/GIME27PART.jpg,29.99,30,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIRO9PART,Giro Rodeo Helmet,"The Giro Rodeo Youth Helmet rounds up easy-to-use features and colorful characters that kids can grow with and parents prefer. And just to make sure it could go everywhere that kids go, we smoothed the shape for easy transport in child seats and strollers",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIRO9PART/PRG,http://www.bicyclebuys.com/item/productimages/GIRO9PART.jpg,29.99,30,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BESWXC7PART,Bell Sweep XC Helmet,"Bell Sweep XC Mountain Helmet features VPV Adjustable Visor, Fusion in-mold shell, in-mold bottom wrap, clear GPS fot system, internal reinforcement, channeled ventilation, cam lock levers, registered graphics.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BESWXC7PART/PRG,http://www.bicyclebuys.com/item/productimages/BESWXC7PART.jpg,109.99,145,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BEME7PART,Bell Metro (Metropolis) Helmet '07,"The Bell Metropolis helmet was designed with the commuter in mind.  Comes with Bells? Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers. Weight 11.3oz/422g Vents 16",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BEME7PART/PRG,http://www.bicyclebuys.com/item/productimages/BEME7PART.jpg,64.99,75,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
0751007PART,SIX SIX ONE DirtLid Helmet,SIX SIX ONE DirtLid Helmet is a BMX/Skate helmet.  One size fits all.,Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/0751007PART/PRG,http://www.bicyclebuys.com/item/productimages/0751007PART.jpg,24.99,25,New,SIXSIXONE,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIRE0PART,Giro Remedy Helmet ,"Giro Remedy Full Face Helmet '10. The fiberglass-shelled Remedy offers the same level of protection, ventilation and attention to detail as its fraternal twin, the Remedy CF, and manages it all at a nice price. It?s built for long park sessions, big mount",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIRE0PART/PRG,http://www.bicyclebuys.com/item/productimages/GIRE0PART.jpg,114.99,130,New,Giro,20231,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIRI9PART,Giro Rift Helmet,Giro Rift Cycling Helmet is a Road as well as offroad helmet.  With enough features to compare to higher priced versions without the price.,Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIRI9PART/PRG,http://www.bicyclebuys.com/item/productimages/GIRI9PART.jpg,54.99,55,New,Giro,20079,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIPN8PART,Giro Pneumo Helmet,"The Giro Pneumo offers top-level performance, full internal reinforcement and a sleek silhouette that captures the essence of perfect, winding roads. But it's the amazing amount of ""nothing"" in this helmet that makes it so special.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIPN8PART/PRG,http://www.bicyclebuys.com/item/productimages/GIPN8PART.jpg,89.99,145,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIATM8PART,Giro Atmos Helmet ,"The Atmos is the racer's helmet.  Lighweight and sleek.  The Roc Loc 4 fit system is a micro adjust retention system for a custome fit. In-mold construction, 26 vents with internal channels, in-mold Carbon Reinforcement Roll Cage.  All these technical fea",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIATM8PART/PRG,http://www.bicyclebuys.com/item/productimages/GIATM8PART.jpg,139.99,175,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIAN8PART,Giro Animas Helmet,"The Giro Animas offers aggressive styling and high-caliber performance features matched to massive vents that were made for epic endurance challenges and tough terrain. If you live and breathe for long rides, this is your helmet",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIAN8PART/PRG,http://www.bicyclebuys.com/item/productimages/GIAN8PART.jpg,79.99,105,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
GIFLK8PART,Giro Flak BMX Helmet ,"Minimal styling that covers all of the basics with none of the BS. The Giro Flak is a true dirt jump lid, with high-impact ABS shell for durability and skate-style padding for comfort and a snug fit.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/GIFLK8PART/PRG,http://www.bicyclebuys.com/item/productimages/GIFLK8PART.jpg,31.99,35,New,Giro,,,Yes,,,Polystyrene                                       ,unisex    ,-1
BESWXC8PART,Bell Sweep XC MTB Helmet,"Bell Sweep XC Mountain Helmet features VPV Adjustable Visor, Fusion in-mold shell, in-mold bottom wrap, clear GPS fot system, internal reinforcement, channeled ventilation, cam lock.",Sporting Goods > Bicycles & Scooters > Helmets,http://www.bicyclebuys.com/item/BESWXC8PART/PRG,http://www.bicyclebuys.com/item/productimages/BESWXC8PART.jpg,109.99,145,New,Bell,,,Yes,,,Polystyrene                                       ,unisex    ,-1
