code	name	description	price	product-url	merchant-site-category	image-url	manufacturer	classification	condition	size	color	SalePrice	MSRP	in-stock	availability	promo-text	shipping-price
0111010PART	CO-Union Bicycle Animal Horn	Co-Union makes the popular bicycle squeaky horn.  Mounts to any handlebar easily from children's to adults.	7.4900000000000002	http://www.bicyclebuys.com/item/0111010PART/yh	Bicycles > Accessory > Kid's Accessories	http://www.bicyclebuys.com/productimages/0111010PART.jpg	Avenir	new	new			7.49	11	y	1,2		
0601534PART	Continental Mountain King UST Tubeless Tire	Continental Mountain King Tire. The tread blocks are of an intermediate design, distributed and shaped to deal with anything from soft loamy soil up to hardpack.	49.990000000000002	http://www.bicyclebuys.com/item/0601534PART/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0601531PART.jpg	Continental	new	new			49.99	60	y	1,2		
0601506	Continental Town and Country 26X2.1 Tire	Continental Tire's Town & Country is a long-wearing work horse built for stability and traction as well as value. Town & Country's thick tread rubber was designed and molded to provide excellent grip under all weather conditions 26x1.95 steel	32.990000000000002	http://www.bicyclebuys.com/item/0601506/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0601502.gif	Continental	new	new	26x2.1"	Brown	32.99	36	y	1,2	Free Shipping	0.00
0603206	Hutchinson Python New Gen Tubeless Ready 26x2.0 Tire	Hutchinson Python New Gen Tubeless Ready Tire. The TUBELESS READY technology also benefits advantages from the TUBELESS, but further in the way of light weight, with an average of 160 grams less than a Tubeless. However, it is compulsory to inflate the ty	24.989999999999998	http://www.bicyclebuys.com/item/0603206/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0603206.jpg	Hutchinson	new	new			24.99	60	y	1,2	New Low Price 	
0603135	Hutchinson Python Tubeless Light 26x2.0 Tire	The Hutchinson Python is compatible with MAVIC UST wheels.  No Tubes necessary. Ideal for X-Country riding (Dry and Rocky terrrain). 730 Grams	24.989999999999998	http://www.bicyclebuys.com/item/0603135/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0603135.jpg	Hutchinson	new	new		Black	24.99	55	y	1,2	Discontinued Item 	
0603170	Michelin City 26x1.40 Reflective Tire	Michelin City 26x1.40 Reflective Tire	19.989999999999998	http://www.bicyclebuys.com/item/0603170/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0603124.jpg	Michelin	new	new		Black	19.99	19.989999999999998	y	1,2		
0603129	Michelin City 26x1.85 Reflective Tire	Michelin City has a Semi-slick street tread patternthat maximizes the contact patch for dependable grip on wet or dry pavement; channels away water while maintaining low rolling resistance.	21.989999999999998	http://www.bicyclebuys.com/item/0603129/yh	Bicycles > ATB Tires > Mountain Tires	http://www.bicyclebuys.com/productimages/0603129.jpg	Michelin	new	new			21.99	30	y	1,2		
0151018	Avenir Wicker Basket w/Velcro	Avenir Wicker Basket attaches easily with two velcro straps. Carrying handle to take on walks.	12.99	http://www.bicyclebuys.com/item/0151018/yh	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0151018.jpg	Avenir	new	new			12.99	20	y	1,2		
0114569	BikeHard Aero StashR Bag	The BikeHard Aero StashR is ideal for carrying your iPod, phone and/or energy bars.	14.99	http://www.bicyclebuys.com/item/0114569/yh	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0114569.jpg	BikeHard	new	new			14.99	25	y	1,2		
0114578	BikeHard Aero StashR XL Bag	New Product Version. Got a big stash and need easy access?  Grab yourself the Aero StashR XL. Bigger than its younger brother the Aero Stashr by 2.5 inches in length and .5 inches in height, its storage capacity is ideal for longer road rides (and convien	19.989999999999998	http://www.bicyclebuys.com/item/0114578/yh	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0114578.jpg	BikeHard	new	new			19.99	30	y	1,2		
0114567	BikeHard Handlebar/Map Bag	The BikeHard Handlebar Bag is constructed of incredibly resilient and long lasting 600x600D Polyester.  Internally divided & insulated to keep your contents padded from the outside and temperature controlled. Removable top map holder convieniently folds o	24.989999999999998	http://www.bicyclebuys.com/item/0114567/yh	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0114567.jpg	BikeHard	new	new		Black	24.99	40	y	1,2	New Low Price 	
0150127	Louis Garneau Race Day Transition Bag	Louis Ganreau Race Day Transition Bag is an essential for any race.  Carry the helmet, shoes, clothes and anything else in this well made bag.  Can be carried as a Back Pack.	49.990000000000002	http://www.bicyclebuys.com/item/0150127/yh	Bicycles > Bags > Rack Bags	http://www.bicyclebuys.com/productimages/0150127.jpg	Louis Garneau	new	new			49.99	55	y	1,2		
0150122	Louis Garneau Tri Pack Evolution BackPack	Louis Garneau Tri Pack BackPack is a multi-purpose bag for triathletes and hikers.  In 600D polyesters coated with waterproof PU and, in 420D/PU nylon ripstop.   Built-in mat for shoe change.  Helmet support under bag.  Ventilated compartment to wisk mois	79.989999999999995	http://www.bicyclebuys.com/item/0150122/yh	Bicycles > Bags > Rack Bags	http://www.bicyclebuys.com/productimages/LGTRBP.jpg	Louis Garneau	new	new			79.99	100	y	1,2		
0114568PART	BikeHard Aero Road Seat Bag	BikeHard Aero Road Seat Bag designed with hidden zipper for a more water tight closure.  Aero design to just fit under a racing seat.  Long enough for most essentials.  Extra tough 600x600D Polyester material with PVC coating keep your contents dry and sa	14.99	http://www.bicyclebuys.com/item/0114568PART/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0114568PART.jpg	BikeHard	new	new			14.99	22	y	1,2		
0114561PART	BikeHard Expandable Seat Bag Large	The BikeHard Aero bag has all the features you want from a premium bag.  Internal Cell phone holder.  Extra tough 600x600D Polyester material with PVC coating keep your contents dry and safe. Scotchlite piping for Reflective safety.  The zippers are enclo	19.989999999999998	http://www.bicyclebuys.com/item/0114561PART/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0114562PART.jpg	BikeHard	new	new			19.99	30	y	1,2		
0126846-30	Cannondale Speedster 30 Seat Bag	Cannondale Speedster 30 Seat Bag is perfect for a minimalist that wants to carry an extra tube, a small multi-tool, and maybe some emergency cash.. Its belly is made from EPO Tarpaulin which resists road grimes and dirt sticking on to the bag. Single stra	13.99	http://www.bicyclebuys.com/item/0126846-30/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0126846-30.jpg	Cannondale	new	new			13.99	17	y	1,2		
0126846-60	Cannondale Speedster 60 Seat Bag	Cannondale Speedster 60 Seat Bag is perfect for holding an extra tube, multi-tool, cell phone, bit of cash, and your keys. Its belly is made from EPO Tarpaulin which resists road grimes and dirt sticking on to the bag. Single strap mounting lets you take 	17.989999999999998	http://www.bicyclebuys.com/item/0126846-60/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0126846-60.jpg	Cannondale	new	new			17.99	22	y	1,2		
0126846-90	Cannondale Speedster 90/160 Expandable Seat Bag	Cannondale Speedster 900/160 Expanadable Seat Bag is ideal for longer trips. With its expanding capabilities, this bag will hold extra tubes, cell phone, keys, multi-tool, lube, CO2 pump/cartridges, etc. Its belly is made from EPO Tarpaulin which resists 	22.989999999999998	http://www.bicyclebuys.com/item/0126846-90/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0126846-90.jpg	Cannondale	new	new			22.99	27	y	1,2		
0119700	Topeak Small Wedge Bag QR (TC2256B)	Great for hauling tools, food, wallet, keys, maps, spare tubes and anything else you need to carry. Features our quick release mounting system and unique built-in rain cover.	13.99	http://www.bicyclebuys.com/item/0119700/yh	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0119700.jpg	Topeak	new	new			13.99	19	y	1,2		
0710027PART	Giordana Laser Bib Short '09	The Laser bib shorts are anatomically constructed with a wide mesh back panel between the shoulder straps for added ventilation. The insert is designed to adapt and move with the contours of the body in motion.	179.99000000000001	http://www.bicyclebuys.com/item/0710027PART/yh	Bicycles > Bib (short & tight) > Bibs (short & tight)	http://www.bicyclebuys.com/productimages/0710027PART.jpg	Giordana	new	new			179.99	150	y	1,2	Free Shipping	0.00
0710077PART	Giordana Silverline Bib Short '09	The Giordana Silverline Bib Short is anatomically shaped to conform to the movements of a cyclist on a bike.	119.98999999999999	http://www.bicyclebuys.com/item/0710077PART/yh	Bicycles > Bib (short & tight) > Bibs (short & tight)	http://www.bicyclebuys.com/productimages/0710077PART.jpg	Giordana	new	new			119.99	120	y	1,2	Free Shipping	0.00
