code	name	description	price	product-url	merchant-site-category	image-url	manufacturer	classification	condition	size	color	SalePrice	MSRP	in-stock	availability	promo-text	shipping-price
0114569	BikeHard Aero StashR Bag	The BikeHard Aero StashR is ideal for carrying your iPod, phone and/or energy bars.	14.99	http://www.bicyclebuys.com/bagsracks/BagHandlebar/0114569	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0114569.jpg	BikeHard	new	new			14.99	25	y	1,2		
0114578	BikeHard Aero StashR XL Bag	New for 2009. Got a big stash and need easy access?  Grab yourself the Aero StashR XL. Bigger than its younger brother the Aero Stashr by 2.5 inches in length and .5 inches in height, its storage capacity is ideal for longer road rides (and convienient fo	19.989999999999998	http://www.bicyclebuys.com/bagsracks/BagHandlebar/0114578	Bicycles > Bags > Handlebar Bags	http://www.bicyclebuys.com/productimages/0114578.jpg	BikeHard	new	new			19.99	30	y	1,2		
0509258	Mavic Crossmax SL Disc Wheelset	Mavic Crossmax SL Disc Wheel is the new standard for Cross Country Racing. Re-designed hubs for stiffness, butted spokes for lightness, new lighter racing rim.	999.95000000000005	http://www.bicyclebuys.com/wheels/WheelMTB/0509258	Bicycles > Mountain Wheels > Mountain Wheels	http://www.bicyclebuys.com/productimages/0509258PART.jpg	Mavic	new	new			999.95	1000	y	1,2	Free Shipping	0.00
1729907	Kryptonite New York Fahgettaboutit U-Lock	Kryptonite New York Fahgettaboudit U-Lock. With the highest security rating this lock provides the ultimate protection. Lock it and Fahgettaboudit!	79.989999999999995	http://www.bicyclebuys.com/locks/U-Locks/1729907	Bicycles > Locks > U-Locks	http://www.bicyclebuys.com/productimages/1729907.jpg	Kryptonite	new	new			79.99	97	y	1,2		
0601524PART	Continental Ultra Gatorskin 700c Tire	Continental's Heavy duty road tire for extra protection. Puncture resistant Kevlar belt to reduce chance of flats. Duraskin fabric & Kevlar to boot!	39.990000000000002	http://www.bicyclebuys.com/tires/TiresRoad/0601524PART	Bicycles > Road Tires > Road Tires	http://www.bicyclebuys.com/productimages/0601523.gif	Continental	new	new			39.99	44	y	1,2	Free Shipping	0.00
1715375	Kryptonite Evolution (EV2000) Mini U-Lock	Kryptonite Evolution (EV2000) Mini U-Lock is the ultimate choice for bike messengers world wide with security rating of 9 out of 12.	49.990000000000002	http://www.bicyclebuys.com/locks/U-Locks/1715375	Bicycles > Locks > U-Locks	http://www.bicyclebuys.com/productimages/1715375.jpg	Kryptonite	new	new			49.99	60	y	1,2		
1729855PART	Kryptonite New York Chain w/EV Disc Lock	Kryptonite New York Chain with <b/>NEW</b> Evolution Series 4 Disc Lock. The NY Chain is a high security lock with innovative oval crossbar disc lock, designed to defeat thieves' maximum attacks.	69.989999999999995	http://www.bicyclebuys.com/locks/ChainLock/1729855PART	Bicycles > Locks > Chain Locks	http://www.bicyclebuys.com/productimages/1729855PART.jpg	Kryptonite	new	new			69.99	90	y	1,2		
1729849	Kryptonite R4 Retractable Combo Cable Lock	Kryptonite R4 Retractable Combo Cable Lock.  Stainless steel cable recommended for accessory and quick release component lock-up. Features haevy-duty recoli function for reliable maximum performance.  Advanced ergonomic design for easy use.  Set your own 	16.989999999999998	http://www.bicyclebuys.com/locks/CableLock/1729849	Bicycles > Locks > Cable Locks	http://www.bicyclebuys.com/productimages/1729849.jpg	Kryptonite	new	new			16.99	20	y	1,2		
GIIN9PART	Giro Indicator Helmet '09	The Giro Indicator's smooth, confidant style and amazing ventilation are combined in a modern design that compliments every type of rider. It's the perfect mix for riding roads, trails and everything in between.	39.990000000000002	http://www.bicyclebuys.com/helmets/HelmetMTB/GIIN9PART	Bicycles > Helmets > Mountain Helmets	http://www.bicyclebuys.com/productimages/GIIN9PART.jpg	Giro	new	new			33.9915	40	y	1,2	Free Shipping	0.00
GIIO9PART	Giro Ionos Road Cycling Helmet '09	Giro Ionos Road Cycling Helmet '09. The Ionos is the most technologically advanced road cycling helmet Giro has ever created. Our revolutionary in-mold composite sub-frame (I.C.S.) provides the strength support 21 of the largest vents ever carved into a h	189.99000000000001	http://www.bicyclebuys.com/helmets/HelmetRoad/GIIO9PART	Bicycles > Helmets > Road Helmets	http://www.bicyclebuys.com/productimages/GIIO9PART.jpg	Giro	new	new			161.4915	230	y	1,2	Limited Time Free Shipping	0.00
