RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
GIE21PART	Giro E2 Helmet	"Giro took the best of the Exodus and made it even better. With 24 enormous vents, E2 is a mere skeleton of its predecessor. It’s also lighter, and features Wind Tunnel Ventilation, an in-mold Hardbody™ and our top-of-the-line Roc Loc 3."	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIE21PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIE28PART.jpg	87.99	87.99	New	Giro			Yes			Polystyrene                                       	unisex    	-1
GIMM23	Giro Mad Max II Full-Face Helmet	"The  Mad Max II offers the benefits of a one-piece full-face desig, plus an adjustable bolt-on visor, plush padding and super cool ventilation. Weight 43.2oz vents 15"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIMM23&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIMM23.jpg	59.99	120	New	Giro			Yes			Polystyrene                                       	unisex    	-1
GISE3PART	Giro Semi Helmet	"""This low-profile helmet was built for progressive riders who want extra coverage.  The in-mold design gives it extra strength without sacrificing weight.  12 vents keep our nugget cool.  
Weight 12oz / 340g"""	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GISE3PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GISE2.jpg	39.99	0	New	Giro			Yes					-1
GIPIXSN2	Giro Pitch Snow Sports Helmet XS/S Black	"""Fit is an essential part of a ski helmets protection.Giro's Super Fit sizing conforms to a range of young head sizes. Removable pads let it adjust to their growth spurts. Offers a full peripheral vision front
XS/S (52-55.5/20.5""-21.75"")"""	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIPIXSN2&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIPIXSN2.jpg	39.99	0	New	Giro	9466	361857946645	Yes	Black	XS/S			-1
BETE4PART	Bell Tension Full-Face Helmet	"The new Tension brings moto styling, features and toughness riders who need it.  Features a durable, multi-layered fiberglass shell with EPS foam liner, removable and washable comfort liner and cheek pads."	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/BETE4PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/BETE4PART.jpg	69.99	110	New	Bell			Yes			Polystyrene                                       	unisex    	-1
BEME4PART	Bell Metro (Metropolis) Helmet	"This helmet was designed with the commuter in mind.  Comes with Bells’ Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers.  <B>Identical to the 2007 model except for dif"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/BEME4PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/BEME4PART.jpg	59.99	75	New	Bell			Yes					-1
GIATM4PART	Giro Atmos Helmet '04	"The Atmos '04 is identical to the '05, '06, '07, '08 except for colors.  The Atmos is anything but thin air.  This is the most aggressive silhouette Giro has ever carved around 26 Wind Tunnel vents, with a new carbon Rib Cage reinforcement, interior strap"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIATM4PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIATM4PART.jpg	139.99	190	New	Giro			Yes			Polystyrene                                       	unisex    	-1
GIMM24PART	Giro Mad Max II Helmet	"The  Mad Max II offers the benefits of a one-piece full-face desig, plus an adjustable bolt-on visor, plush padding and super cool ventilation. Weight 43.2oz/1225g vents 15"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIMM24PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIMM24PART.jpg	59.99	120	New	Giro			Yes			Polystyrene                                       	unisex    	-1
GIMM25PART	Giro Mad Max II Helmet	"The  Mad Max II offers the benefits of a one-piece full-face desig, plus an adjustable bolt-on visor, plush padding and super cool ventilation. Weight 43.2oz/1225g, vents 15."	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/GIMM25PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/GIMM25PART.jpg	59.99	120	New	Giro			Yes			Polystyrene                                       	unisex    	-1
LI9116PART	Limar 911 Helmet	"Limar 911 Helmet ia a performance Road / triathlon / MTB Helmet. Aggressively styled, with a largest number of vents in the industry, internal safety cage, carbon v-frame for low weight and extra stranght, Double in-mold process. It is one of the most adv"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/LI9116PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/LI9116PART.jpg	109.99	150	New	Limar			Yes			Polystyrene                                       	unisex    	-1
BESWR8PART	Bell Sweep R (Road) Helmet '08	"Bell Sweep R Road Helmet is a masterpiece of design and function with 20 functional vents that keep your head cool and a style that keeps you cool. The legendary GPS Fit System keeps the helmet secure while remaining incredible comfortable. In-mold constr"	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/BESWR8PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/BESWR8PART.jpg	99.99	135	New	Bell			Yes			Polystyrene                                       		-1
BEME6PART	Bell Metro (Metropolis) Helmet '06	"The Bell Metropolis helmet was designed with the commuter in mind.  Comes with Bells’ Fusion In-mold  Microshell, Softshell bottom wrap.  GPS fit system, VistaLite strap. Channeled ventilation. Blade visor, Cam-Lock levers. <B>Identical to the 2007 model "	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/BEME6PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/BEME6PART.jpg	64.99	75	New	Bell			Yes					-1
BEVA7PART	Bell Variant Mountain Helmet '07	"The Bell Variant is a multi use helmet.  Cross Country, Downhill, Enduro, Freeride, Trials, Urban Assault.  You name it, you can ride with this helmet."	Sporting Goods > Bicycles & Scooters > Helmets	http://www.bicyclebuys.com/item/BEVA7PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/BEVA7PART.jpg	64.99	100	New	Bell			Yes			Polystyrene                                       	unisex    	-1
