RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0414455	Shimano PD-M647 DX BMX/MTB Clipless Pedals	"Shimano PD-M647 DX BMX/MTB Clipless Pedals.  Dual-sided pop-up bindings that position the pedal body at 12.5 degrees angle for easy and fast entry, with adjustable cleat tension and indicators to show tension for each side."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0414455#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0130044.jpg	89.99	100	New	Cycleops	7150	012527007462	Yes	Black		Nylon                                             	unisex    	-1
1736227	Park CT-4.2 Master Chain Tool	"The CT-4.2 Master Chain Tool replaces the CT-4 Master Chain Tool. The CT-4.2 will work with “hour-glass” shaped 8, 9, 10 and 11 speed chains. Also fits the asymmetrical Shimano chain designs such as Dura-Ace 7900.

Specially designed to work with the ti"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1736227#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1736227.jpg	59.95	67	New	Park	CT-4.2		Yes					-1
0129964	Cycleops Mag +Plus Indoor Trainer - Cycleops Trainer	"Cycleops Magnetic Plus Trainer provides adjustable resistance while you are training without getting off the bike.  The integrated unit provides 5 tension setting adjustments."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0129964#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0129964-1.jpg	168.99	210	New	Cycleops	9006	012527002511	Yes			Steel                                             	unisex    	-1
0129965	Cycleops Trainer Bag	"Cycleops Trainer Bag.  The convenient way to take your trainer to rides and races.  Fits all Cycleops trainers.  Comes with 3 smaller inside pockets for a helmet, riser block, etc."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0129965#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0129965.jpg	53.99	59.99	New	Cycleops	9709	012527002603	Yes					-1
0852001	Thule LB50 50" Load Bars	"Rugged steel beams coated with a rubberized black paint permit the outdoors-person to mount anything from bikes, to skis, to kayaks and cargo boxes. Please call us about fitting information for your specific vehicle."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0852001#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0852001.gif	80.99	90	New	Thule	LB50	091021626171	Yes					-1
0852006	Thule Aero Foot 400XT	"Designed for your vehicles without rain gutters. Foot tightens to bar and roof simultaneously. Custom fit for your car with Fit Kit. Please call us for detailed fitting information pertaining to your specific vehicle."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0852006#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/085200.gif	156.95	175	New	Thule	400xt	091021400573	Yes					-1
1010076	Shimano Shadow XT M772 SGS Rear Derailleur	"Shmano Shadow XT M772 SGS Rear Derailleur.  Like the latest XTR, options are the emphasis of the new Deore XT. The debut of the Shimano Shadow Rear Derailleur yields a third rear derailleur option, joining the Top-Normal (NON-RAPID RISE). A Shadow RD plac"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1010076#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1010076.jpg	94.99	130	New	Shimano	IRDM772SGS	689228130333	Yes					-1
1010023	Sram XO 9/speed Shifters	"ESP® 1:1® Actuation Ratio & SRS™ for light, precise indexing.  The body is designed with a 50mm "Shorty" w/lightweight Grilon® composite finish and ergo tornado style grip."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1010023#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1010023.jpg	69.99	90	New	Sram	200-807	710845008078	Yes					-1
0402066PART	Shimano PD-A530 Pedal	"Shimano PD-A530 gives rider the ability to ride platform one day, clipped in the other. Sealed bearings, tension adjustment on engangement mechanism, spd compatible. Includes Shimano SH51 cleats. Very light at 383 grams per set... Available as either Silv"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0402066PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0402066.jpg	74.99	110	New	Shimano	PDA530		Yes			Alloy                                             	unisex    	-1
0402067	Shimano PD-M545 Clipless Pedal	"PD-M545 off-road sport pedals. Easy step-in design, replaceable light alloy cages, dual pop-up SPD blindings, cartridge bearing axle. Weight:567g (pair)"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0402067#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0402067.jpg	84.99	120	New	Shimano	M545	689228118782	Yes					-1
